"","dim","mean.instance1","mean.instance2","sd.instance1","sd.instance2"
"1",2,0.00574904310861676,3.4269794908383e-19,0.00746585316739197,7.08639702620309e-19
"2",6,184.949500982895,1.49353397605643e-10,124.957105129562,3.92140824157617e-10
"3",11,31526.5312557043,2.35141612486129,15094.4722764171,1.33181713427914
"4",15,128281.790184795,10.4786528182619,27914.6557929151,0.681235528182612
"5",20,260249.714065044,24.2440994058634,31083.5965883852,2.66811791803197
"6",24,423171.688275642,94.7147540057453,49785.0064053988,25.1169161146506
"7",29,530170.007981472,578.482637044719,124526.745353967,256.152648391807
"8",33,743835.929001033,1516.58308594367,90679.1044751086,347.105034920107
"9",38,951581.396656501,5156.29300739067,78322.8725152812,1620.28404476691
"10",42,1148861.13519802,11349.7695505152,147313.019052049,3620.47931451935
"11",47,1373226.23173903,27871.0323295082,128494.219961942,5439.74660846466
"12",51,1632858.61198258,59049.1703721389,187789.028108916,17642.6477756562
"13",56,2187761.14133282,90829.0851752406,444705.631697021,17553.4348406205
"14",60,2678981.3337667,128461.622092551,635638.96704069,44647.1112277546
"15",65,3236102.43960252,222061.782483574,840687.590217371,63694.9198495801
"16",69,3886698.32091642,314629.736025526,471984.446389936,50129.4158207985
"17",74,4546267.28949991,476441.660713727,377885.493297383,126459.896044762
"18",78,4628618.17219069,616483.716870429,368184.819382358,116952.610527885
"19",83,5578325.59248159,886818.081608532,167465.733977505,147192.483217689
"20",87,5814196.05159561,923148.484352487,580426.326824252,226795.950812028
"21",92,6393648.62395182,1284143.07852247,591518.37641914,310405.365227619
"22",96,6966608.19816309,1556822.62586174,661183.817489094,434961.101574804
"23",101,7238151.53146934,1912334.7999406,530551.237898485,369564.659992123
"24",105,7580121.07465472,2174055.82819522,379909.793719213,256851.014507933
"25",110,7870382.10080738,2864883.88835905,376983.054987456,393816.341881793
"26",114,7831933.11649279,3130019.84682165,671069.981815544,684243.2142937
"27",119,8745380.34153116,3384938.54403035,507239.595082224,402663.229399373
"28",123,8525592.23185354,4028602.761436,797835.980862315,708827.724159208
"29",128,9430806.70906513,4356739.79159989,663983.56981077,619321.885374269
"30",132,9630395.85965282,4493861.46548792,887328.409089087,784892.511542194
"31",137,10766691.4767402,4902857.62404039,536225.592466803,1017956.67070263
"32",141,10571294.0990047,5021652.15575769,881530.956953575,883060.544745158
"33",146,11065417.2499634,5821894.3017059,755080.791535157,917806.161557181
"34",150,10996189.4478052,5957423.05186509,739715.309416982,1466630.85541412
